x,y
1363,0.700985
1364,0.701392
1365,0.701798
1366,0.702204
1367,0.702609
1368,0.703015
1369,0.70342
1370,0.703825
1371,0.70423
1372,0.704634
1373,0.705038
1374,0.705443
1375,0.705846
1376,0.70625
1377,0.706653
1378,0.707056
1379,0.707459
1380,0.707862
1381,0.708264
1382,0.708667
1383,0.709069
1384,0.70947
1385,0.709872
1386,0.710273
1387,0.710674
1388,0.711075
1389,0.711476
1390,0.711876
1391,0.712276
1392,0.712676
1393,0.713076
1394,0.713475
1395,0.713874
1396,0.714273
1397,0.714672
1398,0.715071
1399,0.715469
1400,0.715867
1401,0.716265
1402,0.716662
1403,0.71706
1404,0.717457
1405,0.717854
1406,0.71825
1407,0.718647
1408,0.719043
1409,0.719439
1410,0.719834
1411,0.72023
1412,0.720625
1413,0.72102
1414,0.721415
1415,0.72181
1416,0.722204
1417,0.722598
1418,0.722992
1419,0.723385
1420,0.723779
1421,0.724172
1422,0.724565
1423,0.724957
1424,0.72535
1425,0.725742
1426,0.726134
1427,0.726526
1428,0.726917
1429,0.727308
1430,0.727699
1431,0.72809
1432,0.728481
1433,0.728871
1434,0.729261
1435,0.729651
1436,0.730041
1437,0.73043
1438,0.730819
1439,0.731208
1440,0.731597
1441,0.731985
1442,0.732373
1443,0.732761
1444,0.733149
1445,0.733536
1446,0.733923
1447,0.73431
1448,0.734697
1449,0.735084
1450,0.73547
1451,0.735856
1452,0.736242
1453,0.736627
1454,0.737013
1455,0.737398
1456,0.737782
1457,0.738167
1458,0.738551
1459,0.738936
1460,0.739319
1461,0.739703
1462,0.740086
1463,0.74047
1464,0.740852
1465,0.741235
1466,0.741618
1467,0.742
1468,0.742382
1469,0.742763
1470,0.743145
1471,0.743526
1472,0.743907
1473,0.744288
1474,0.744668
1475,0.745049
1476,0.745429
1477,0.745808
1478,0.746188
1479,0.746567
1480,0.746946
1481,0.747325
1482,0.747703
1483,0.748082
1484,0.74846
1485,0.748838
1486,0.749215
1487,0.749593
1488,0.74997
1489,0.750347
1490,0.750723
1491,0.7511
1492,0.751476
1493,0.751852
1494,0.752227
1495,0.752603
1496,0.752978
1497,0.753353
1498,0.753727
1499,0.754102
1500,0.754476
1501,0.75485
1502,0.755223
1503,0.755597
1504,0.75597
1505,0.756343
1506,0.756716
1507,0.757088
1508,0.75746
1509,0.757832
1510,0.758204
1511,0.758575
1512,0.758947
1513,0.759318
1514,0.759688
1515,0.760059
1516,0.760429
1517,0.760799
1518,0.761169
1519,0.761538
1520,0.761908
1521,0.762277
1522,0.762645
1523,0.763014
1524,0.763382
1525,0.76375
1526,0.764118
1527,0.764485
1528,0.764853
1529,0.76522
1530,0.765586
1531,0.765953
1532,0.766319
1533,0.766685
1534,0.767051
1535,0.767416
1536,0.767782
1537,0.768147
1538,0.768511
1539,0.768876
1540,0.76924
1541,0.769604
1542,0.769968
1543,0.770332
1544,0.770695
1545,0.771058
1546,0.771421
1547,0.771783
1548,0.772145
1549,0.772507
1550,0.772869
1551,0.773231
1552,0.773592
1553,0.773953
1554,0.774314
1555,0.774674
1556,0.775035
1557,0.775395
1558,0.775754
1559,0.776114
1560,0.776473
1561,0.776832
1562,0.777191
1563,0.777549
1564,0.777908
1565,0.778266
1566,0.778623
1567,0.778981
1568,0.779338
1569,0.779695
1570,0.780052
1571,0.780408
1572,0.780764
1573,0.78112
1574,0.781476
1575,0.781831
1576,0.782187
1577,0.782542
1578,0.782896
1579,0.783251
1580,0.783605
1581,0.783959
1582,0.784313
1583,0.784666
1584,0.785019
1585,0.785372
1586,0.785725
1587,0.786077
1588,0.786429
1589,0.786781
1590,0.787133
1591,0.787484
1592,0.787835
1593,0.788186
1594,0.788537
1595,0.788887
1596,0.789237
1597,0.789587
1598,0.789937
1599,0.790286
1600,0.790635
1601,0.790984
1602,0.791332
1603,0.791681
1604,0.792029
1605,0.792377
1606,0.792724
1607,0.793071
1608,0.793418
1609,0.793765
1610,0.794112
1611,0.794458
1612,0.794804
1613,0.79515
1614,0.795495
1615,0.79584
1616,0.796185
1617,0.79653
1618,0.796874
1619,0.797219
1620,0.797562
1621,0.797906
1622,0.798249
1623,0.798593
1624,0.798936
1625,0.799278
1626,0.79962
1627,0.799963
1628,0.800304
1629,0.800646
1630,0.800987
1631,0.801328
1632,0.801669
1633,0.80201
1634,0.80235
1635,0.80269
1636,0.80303
1637,0.803369
1638,0.803709
1639,0.804048
1640,0.804386
1641,0.804725
1642,0.805063
1643,0.805401
1644,0.805738
1645,0.806076
1646,0.806413
1647,0.80675
1648,0.807087
1649,0.807423
1650,0.807759
1651,0.808095
1652,0.80843
1653,0.808766
1654,0.809101
1655,0.809436
1656,0.80977
1657,0.810104
1658,0.810438
1659,0.810772
1660,0.811105
1661,0.811439
1662,0.811772
1663,0.812104
1664,0.812437
1665,0.812769
1666,0.813101
1667,0.813432
1668,0.813764
1669,0.814095
1670,0.814426
1671,0.814756
1672,0.815087
1673,0.815417
1674,0.815746
1675,0.816076
1676,0.816405
1677,0.816734
1678,0.817063
1679,0.817391
1680,0.817719
1681,0.818047
1682,0.818375
1683,0.818702
1684,0.819029
1685,0.819356
1686,0.819683
1687,0.820009
1688,0.820335
1689,0.820661
1690,0.820987
1691,0.821312
1692,0.821637
1693,0.821962
1694,0.822286
1695,0.82261
1696,0.822934
1697,0.823258
1698,0.823581
1699,0.823904
1700,0.824227
1701,0.82455
1702,0.824872
1703,0.825194
1704,0.825516
1705,0.825837
1706,0.826159
1707,0.826479
1708,0.8268
1709,0.827121
1710,0.827441
1711,0.827761
1712,0.82808
1713,0.8284
1714,0.828719
1715,0.829038
1716,0.829356
1717,0.829674
1718,0.829992
1719,0.83031
1720,0.830628
1721,0.830945
1722,0.831262
1723,0.831578
1724,0.831895
1725,0.832211
1726,0.832527
1727,0.832842
1728,0.833158
1729,0.833473
1730,0.833788
1731,0.834102
1732,0.834416
1733,0.83473
1734,0.835044
1735,0.835357
1736,0.83567
1737,0.835983
1738,0.836296
1739,0.836608
1740,0.83692
1741,0.837232
1742,0.837544
1743,0.837855
1744,0.838166
1745,0.838477
1746,0.838787
1747,0.839097
1748,0.839407
1749,0.839717
1750,0.840026
1751,0.840335
1752,0.840644
1753,0.840952
1754,0.841261
1755,0.841569
1756,0.841876
1757,0.842184
1758,0.842491
1759,0.842798
1760,0.843104
1761,0.843411
1762,0.843717
1763,0.844022
1764,0.844328
1765,0.844633
1766,0.844938
1767,0.845243
1768,0.845547
1769,0.845851
1770,0.846155
1771,0.846459
1772,0.846762
1773,0.847065
1774,0.847368
1775,0.84767
1776,0.847973
1777,0.848275
1778,0.848576
1779,0.848878
1780,0.849179
1781,0.84948
1782,0.84978
1783,0.85008
1784,0.85038
1785,0.85068
1786,0.85098
1787,0.851279
1788,0.851578
1789,0.851876
1790,0.852175
1791,0.852473
1792,0.85277
1793,0.853068
1794,0.853365
1795,0.853662
1796,0.853959
1797,0.854255
1798,0.854551
1799,0.854847
1800,0.855143
1801,0.855438
1802,0.855733
1803,0.856028
1804,0.856322
1805,0.856616
1806,0.85691
1807,0.857204
1808,0.857497
1809,0.85779
1810,0.858083
1811,0.858376
1812,0.858668
1813,0.85896
1814,0.859252
1815,0.859543
1816,0.859834
1817,0.860125
1818,0.860415
1819,0.860706
1820,0.860996
1821,0.861285
1822,0.861575
1823,0.861864
1824,0.862153
1825,0.862442
1826,0.86273
1827,0.863018
1828,0.863306
1829,0.863593
1830,0.86388
1831,0.864167
1832,0.864454
1833,0.86474
1834,0.865026
1835,0.865312
1836,0.865598
1837,0.865883
1838,0.866168
1839,0.866453
1840,0.866737
1841,0.867021
1842,0.867305
1843,0.867588
1844,0.867872
1845,0.868155
1846,0.868437
1847,0.86872
1848,0.869002
1849,0.869284
1850,0.869565
1851,0.869847
1852,0.870128
